first_name,last_name,email,section,major1,major2,minor1,minor2
"{:first_name=>""Catina"", :last_name=>""Aistrop"", :email=>""caistropls@nbcnews.com"", :section=>5, :major1=>""Accounting"", :major2=>""Statistics"", :minor1=>""Psychology"", :minor2=>""""}","{:first_name=>""Karil"", :last_name=>""Aisman"", :email=>""kaisman9m@guardian.co.uk"", :section=>1, :major1=>""Biology"", :major2=>"""", :minor1=>""Accounting"", :minor2=>""""}"
"{:first_name=>""Charlotta"", :last_name=>""Alliband"", :email=>""calliband14@stanford.edu"", :section=>2, :major1=>""Computer Engineering"", :major2=>""Chemistry"", :minor1=>""Biology"", :minor2=>""""}","{:first_name=>""Tobye"", :last_name=>""Ablott"", :email=>""tablottjt@live.com"", :section=>3, :major1=>""Criminology"", :major2=>""Computer Science"", :minor1=>"""", :minor2=>""""}"
"{:first_name=>""Shurlock"", :last_name=>""Agdahl"", :email=>""sagdahl21@histats.com"", :section=>3, :major1=>""Criminology"", :major2=>""Computer Science"", :minor1=>"""", :minor2=>""""}","{:first_name=>""Malory"", :last_name=>""Alcorn"", :email=>""malcornnw@vkontakte.ru"", :section=>3, :major1=>""Criminology"", :major2=>""Computer Science"", :minor1=>"""", :minor2=>""""}"
"{:first_name=>""Molly"", :last_name=>""Alsop"", :email=>""malsophh@google.es"", :section=>3, :major1=>""Criminology"", :major2=>""Computer Science"", :minor1=>"""", :minor2=>""""}","{:first_name=>""Jesselyn"", :last_name=>""Aleavy"", :email=>""jaleavy6h@hostgator.com"", :section=>7, :major1=>""History"", :major2=>"""", :minor1=>"""", :minor2=>""""}"
"{:first_name=>""Salim"", :last_name=>""Aiston"", :email=>""saistoni6@cpanel.net"", :section=>4, :major1=>""Journalism"", :major2=>""History"", :minor1=>"""", :minor2=>""""}","{:first_name=>""Beatrix"", :last_name=>""Algate"", :email=>""balgate7f@accuweather.com"", :section=>4, :major1=>""Journalism"", :major2=>""History"", :minor1=>"""", :minor2=>""""}"
"{:first_name=>""Tonie"", :last_name=>""Alstead"", :email=>""talsteadn7@bloomberg.com"", :section=>4, :major1=>""Journalism"", :major2=>"""", :minor1=>""History"", :minor2=>""""}","{:first_name=>""Norrie"", :last_name=>""Alcorn"", :email=>""nalcorndk@hao123.com"", :section=>8, :major1=>""Nursing"", :major2=>"""", :minor1=>""Journalism"", :minor2=>""""}"
"{:first_name=>""Caesar"", :last_name=>""Aldwich"", :email=>""caldwich43@java.com"", :section=>8, :major1=>""Nursing"", :major2=>"""", :minor1=>""Journalism"", :minor2=>""""}","{:first_name=>""Tabby"", :last_name=>""Allabarton"", :email=>""tallabarton7j@si.edu"", :section=>8, :major1=>""Nursing"", :major2=>"""", :minor1=>""Journalism"", :minor2=>""""}"
"{:first_name=>""Jordain"", :last_name=>""Alldis"", :email=>""jalldis1j@elpais.com"", :section=>11, :major1=>""Philiosophy"", :major2=>"""", :minor1=>"""", :minor2=>""""}","{:first_name=>""Leontyne"", :last_name=>""Abbe"", :email=>""labbemx@dion.ne.jp"", :section=>9, :major1=>""Psychology"", :major2=>"""", :minor1=>"""", :minor2=>""""}"
"{:first_name=>""Bonnibelle"", :last_name=>""Adams"", :email=>""badamso1@usda.gov"", :section=>9, :major1=>""Psychology"", :major2=>"""", :minor1=>"""", :minor2=>""""}","{:first_name=>""Beryle"", :last_name=>""Abbotts"", :email=>""babbotts4a@taobao.com"", :section=>9, :major1=>""Women & Gender Studies"", :major2=>"""", :minor1=>"""", :minor2=>""""}"
"{:first_name=>""Skell"", :last_name=>""Akers"", :email=>""sakersc1@dailymotion.com"", :section=>9, :major1=>""Women & Gender Studies"", :major2=>"""", :minor1=>"""", :minor2=>""""}"
